Judet,Valorea estimata
Valcea,120222348.8
Braila,165198540.85
Suceava,201275938.75
Mures,1006315678.77
Vrancea,92840303.88
Hunedoara,275744077.63
Satu Mare,496843149.8
Mehedinti,94155898.19
Vaslui,242109454.44
Bacau,287648011.77
Galati,289641782.96
Botosani,116662769.29
Cluj,805048311.57
Maramures,512160340.98
Teleorman,121615419.93
Dambovita,136515188.01
Calarasi,78515237.37
Timis,486407024.89
Constanta,585644433.7
Sibiu,625756802.22
Arges,81647548.89
Covasna,18165516.12
Caras-Severin,30990464.88
Arad,77183190.71
Bihor,597878703.07
Gorj,742937537.2
Prahova,353592442.35
Ilfov,354936765.09
Tulcea,124803730.16
Ialomita,103517295.1
Salaj,16819768.85
Brasov,92129692.87
Dolj,1226178787.54
Bistrita-Nasaud,241688803.28
Alba,30205610.48
Neamt,136356239.54
Giurgiu,16585893.0
Harghita,87379506.14
Buzau,201510724.74
Bucuresti,16274192265.4
Olt,147352742.97
Iasi,670203426.24
